,total_sqft,bath,balcony,price,bhk,area_type_le,location_le
272,883.0,2.0,1.0,45.0,2,0,138
273,900.0,2.0,1.0,110.0,2,2,235
274,1664.0,2.0,3.0,73.95,3,3,143
275,2026.0,3.0,2.0,132.0,3,3,95
276,1210.0,2.0,1.0,80.9,2,3,27
277,4111.0,4.0,2.0,250.0,4,2,235
278,1762.0,3.0,3.0,91.45,3,3,119
279,1252.0,3.0,3.0,55.0,3,3,115
280,861.0,2.0,1.0,34.5,2,0,83
281,1420.0,2.0,1.0,100.0,3,0,6
283,1490.0,3.0,1.0,78.8,3,0,78
284,1075.0,2.0,1.0,46.0,3,3,48
285,1425.0,2.0,2.0,94.0,3,3,179
286,1200.0,2.0,1.0,40.0,2,0,123
287,1280.0,2.0,2.0,56.0,3,3,120
288,1084.0,2.0,2.0,50.0,2,3,235
289,1015.0,2.0,2.0,25.88,2,3,57
290,1017.0,2.0,1.0,51.25,2,3,129
291,1027.0,2.0,2.0,44.0,2,3,91
292,1069.0,2.0,2.0,45.0,2,3,77
293,1349.0,2.0,1.0,98.2,2,3,93
294,1005.0,2.0,1.0,50.0,2,3,8
295,1417.0,2.0,3.0,75.0,2,3,112
296,1475.0,3.0,1.0,98.0,3,2,212
297,950.0,2.0,2.0,47.0,2,1,235
298,2000.0,4.0,0.0,120.0,4,3,235
300,1863.0,3.0,2.0,104.0,4,3,199
301,1010.0,2.0,1.0,29.5,2,3,206
302,1425.0,2.0,1.0,70.0,3,3,123
303,1450.0,3.0,0.0,100.0,3,3,225
304,1847.0,3.0,2.0,105.0,3,3,147
305,1100.0,2.0,3.0,45.0,2,3,9
306,525.0,1.0,1.0,26.0,1,3,129
307,1665.0,3.0,2.0,95.0,3,3,159
308,1664.0,4.0,3.0,65.0,4,3,40
309,1850.0,3.0,3.0,150.0,3,3,111
310,1438.0,2.0,3.0,100.0,2,3,182
311,1560.0,3.0,3.0,115.0,3,3,235
312,1350.0,2.0,1.0,55.55,2,3,231
313,1550.0,3.0,3.0,67.0,3,3,129
314,1140.0,2.0,2.0,46.5,2,3,160
316,850.0,2.0,2.0,27.0,2,3,235
317,1280.0,2.0,2.0,75.0,2,3,229
318,1170.0,2.0,2.0,52.0,2,0,166
319,1113.0,2.0,1.0,51.0,2,3,235
320,1385.0,2.0,1.0,83.09,2,3,97
321,1128.0,2.0,1.0,65.0,2,3,76
322,1200.0,2.0,2.0,128.0,2,2,162
324,2390.0,3.0,2.0,415.0,3,3,190
325,2400.0,4.0,1.0,400.0,4,2,82
326,1464.0,3.0,2.0,56.0,3,3,91
327,1200.0,2.0,2.0,55.0,2,3,235
328,1200.0,2.0,2.0,52.0,2,3,135
329,1150.0,2.0,1.0,55.0,3,3,121
330,1645.0,3.0,2.0,95.0,3,0,235
331,1000.0,2.0,1.0,67.0,2,3,199
332,2650.0,4.0,2.0,198.0,4,2,91
333,1192.0,2.0,2.0,74.0,2,3,5
334,2135.0,3.0,2.0,215.0,3,3,219
335,1173.0,2.0,1.0,58.0,2,3,229
336,1020.0,2.0,2.0,45.0,2,0,220
337,3122.0,6.0,2.0,230.0,4,3,215
338,1600.0,3.0,3.0,64.0,3,3,207
339,1200.0,2.0,0.0,79.0,2,2,235
340,1230.0,2.0,3.0,48.0,2,1,235
341,1250.0,2.0,2.0,40.0,2,3,69
342,1325.0,2.0,2.0,76.0,2,3,123
343,1850.0,3.0,1.0,150.0,3,0,6
345,1200.0,2.0,2.0,65.0,2,3,38
346,1350.0,2.0,0.0,140.0,3,2,235
347,1260.0,3.0,1.0,49.36,3,3,50
348,1800.0,3.0,0.0,150.0,3,3,235
350,1100.0,2.0,1.0,43.25,2,0,19
351,1508.0,2.0,1.0,77.0,2,3,92
352,1592.0,3.0,2.0,75.0,3,1,235
353,1388.0,2.0,3.0,57.0,2,3,11
354,630.0,1.0,1.0,28.35,1,3,77
355,2000.0,3.0,2.0,365.0,3,2,235
356,1762.0,3.0,1.0,125.0,3,3,235
357,950.0,2.0,2.0,50.0,2,3,235
358,3252.0,5.0,3.0,335.0,4,3,142
359,1116.0,2.0,1.0,50.0,2,3,156
360,1308.0,2.0,2.0,89.04,2,3,175
361,1200.0,3.0,0.0,90.0,3,3,235
362,1500.0,4.0,2.0,230.0,4,2,235
363,500.0,1.0,1.0,18.5,1,0,36
364,1075.0,2.0,1.0,52.0,2,3,96
365,530.0,1.0,0.0,11.66,1,3,57
366,1205.0,2.0,3.0,66.0,2,0,42
367,1075.0,2.0,2.0,60.0,2,3,4
368,930.0,2.0,2.0,39.0,2,0,117
369,1380.0,2.0,1.0,60.0,2,3,27
370,2483.0,5.0,2.0,212.0,4,3,93
371,1166.0,2.0,2.0,55.0,2,0,141
372,1050.0,2.0,1.0,65.0,2,3,36
373,2023.71,3.0,2.0,275.0,3,3,235
374,1200.0,2.0,2.0,46.8,2,3,41
375,1600.0,2.0,1.0,108.0,3,3,154
376,1935.0,3.0,2.0,110.0,3,3,46
377,451.0,1.0,0.0,29.9,1,3,7
378,1800.0,3.0,2.0,95.0,3,3,76
379,1400.0,3.0,0.0,77.0,3,3,113
380,1801.0,3.0,2.0,115.0,3,3,95
382,1200.0,1.0,1.0,36.0,2,2,17
383,1160.0,2.0,2.0,44.0,2,3,41
384,1000.0,2.0,1.0,25.0,2,0,137
385,950.0,2.0,1.0,40.0,2,3,129
386,1629.0,3.0,2.0,79.0,3,0,235
387,1580.0,2.0,0.0,134.0,3,0,225
388,1826.0,3.0,2.0,121.0,3,3,225
389,1245.0,2.0,1.0,94.0,2,0,6
390,1145.0,2.0,2.0,45.79,2,3,189
391,825.0,2.0,1.0,33.0,2,3,208
392,1693.0,3.0,3.0,108.0,3,3,234
393,1113.27,2.0,2.0,53.0,2,3,78
394,1460.0,2.0,1.0,58.0,2,0,235
395,1050.0,2.0,1.0,32.0,2,0,72
396,1260.0,2.0,2.0,55.0,2,0,70
398,1656.0,2.0,1.0,120.0,2,0,105
399,1208.0,3.0,1.0,45.0,3,3,57
400,1910.0,3.0,2.0,161.0,3,3,229
401,3252.0,4.0,1.0,230.0,4,3,229
402,1200.0,2.0,1.0,65.0,2,2,39
404,1175.0,2.0,1.0,82.0,2,3,6
405,1000.0,2.0,0.0,165.0,2,2,235
407,2390.0,3.0,2.0,410.0,3,3,190
408,12000.0,6.0,3.0,2200.0,7,3,190
412,750.0,2.0,1.0,38.0,2,3,137
414,1550.0,3.0,3.0,64.5,3,3,129
415,1760.0,3.0,2.0,88.0,3,0,235
416,1125.0,2.0,2.0,62.0,2,3,46
417,1350.0,3.0,2.0,150.0,3,2,171
418,1000.0,2.0,1.0,55.0,2,2,15
419,1090.0,2.0,2.0,31.48,2,0,51
420,1200.0,2.0,0.0,60.0,2,2,212
421,1991.0,4.0,2.0,103.0,3,3,54
422,1060.0,2.0,1.0,26.5,2,3,50
423,1105.0,2.0,1.0,75.0,2,3,12
424,985.0,2.0,2.0,67.0,2,0,98
426,1590.0,3.0,2.0,79.0,3,3,27
427,1120.0,2.0,2.0,55.0,2,3,55
428,1069.0,2.0,1.0,55.0,2,3,235
429,1933.0,3.0,2.0,140.0,3,3,162
430,1194.0,2.0,0.0,69.0,2,0,105
431,1150.0,2.0,3.0,69.0,2,3,53
432,1240.0,2.0,2.0,47.12,2,3,233
433,1419.0,2.0,2.0,48.1,2,3,189
436,1450.0,3.0,2.0,55.0,3,3,235
437,1630.0,3.0,2.0,68.29,3,3,235
438,708.0,1.0,1.0,40.0,2,3,66
439,1000.0,4.0,3.0,110.0,3,2,132
440,11890.0,4.0,3.0,700.0,4,2,229
441,1250.0,2.0,1.0,76.0,2,3,42
442,1400.0,2.0,1.0,95.0,3,3,6
443,1670.0,2.0,3.0,57.0,3,3,199
444,1750.0,3.0,2.0,100.0,3,3,19
445,1404.0,2.0,1.0,71.0,2,3,228
446,1715.0,2.0,2.0,95.0,3,3,98
447,630.0,1.0,1.0,34.65,1,0,76
448,1752.12,3.0,2.0,135.0,3,3,92
449,1650.0,3.0,2.0,78.0,3,3,106
450,1295.0,2.0,1.0,55.47,2,3,189
451,1800.0,3.0,2.0,252.0,3,2,82
452,1346.0,2.0,1.0,74.03,2,3,199
454,1150.0,2.0,2.0,55.0,2,3,101
455,3309.0,4.0,3.0,325.0,4,0,235
456,1190.0,2.0,2.0,30.35,3,3,57
457,1620.0,3.0,2.0,98.0,3,3,9
458,950.0,2.0,1.0,46.96,2,3,162
459,5000.0,9.0,3.0,360.0,1,3,235
460,2450.0,3.0,0.0,120.0,3,3,92
461,1220.0,2.0,1.0,35.23,3,3,77
462,850.0,2.0,1.0,30.0,2,3,235
463,1020.0,2.0,2.0,63.0,2,0,180
464,1100.0,2.0,2.0,50.0,2,0,61
465,1150.0,2.0,2.0,126.0,2,3,235
466,1760.0,2.0,2.0,130.0,3,3,93
467,1800.0,3.0,3.0,110.0,3,3,12
468,1070.0,2.0,1.0,54.0,2,3,11
469,1500.0,4.0,2.0,220.0,4,2,3
470,1440.0,2.0,0.0,95.0,2,2,224
471,900.0,2.0,1.0,40.0,2,3,14
473,1130.0,2.0,1.0,42.16,2,3,229
474,1320.0,2.0,1.0,165.0,2,3,145
475,1270.0,2.0,1.0,98.0,2,3,235
476,1200.0,2.0,1.0,62.0,2,0,235
478,1200.0,2.0,1.0,74.0,2,3,235
479,929.0,2.0,0.0,50.17,2,3,210
484,1464.0,3.0,2.0,56.0,3,3,235
485,3600.0,4.0,3.0,400.0,4,3,6
486,2000.0,4.0,2.0,99.0,4,2,235
487,1208.0,2.0,1.0,49.0,2,3,61
488,1130.0,2.0,2.0,60.0,2,3,94
489,1753.0,3.0,2.0,120.0,3,3,235
490,4500.0,7.0,3.0,337.0,5,3,179
492,1196.0,2.0,2.0,94.42,2,3,98
493,1150.0,3.0,3.0,52.5,2,0,4
494,1128.0,2.0,1.0,63.0,2,3,76
495,1000.0,2.0,1.0,53.0,2,3,235
496,1035.0,2.0,1.0,45.0,2,3,231
497,950.0,2.0,1.0,32.0,2,0,139
498,1075.0,2.0,1.0,36.0,3,3,48
499,1040.0,2.0,1.0,48.5,2,3,229
500,720.0,2.0,1.0,45.0,2,2,235
501,1511.0,3.0,1.0,95.0,3,3,155
502,1300.0,3.0,1.0,58.0,3,0,235
503,1545.0,3.0,1.0,68.75,3,3,98
504,375.0,2.0,0.0,26.0,1,0,204
505,1062.0,2.0,3.0,38.0,2,3,224
506,1115.0,2.0,1.0,40.0,2,3,235
507,1000.0,2.0,1.0,35.0,2,3,111
508,883.0,2.0,1.0,45.0,2,3,125
509,1195.0,2.0,1.0,70.0,2,3,199
511,700.0,1.0,0.0,41.0,1,0,235
512,1246.0,2.0,1.0,67.0,2,3,228
514,8500.0,4.0,2.0,145.0,4,2,30
515,1600.0,4.0,1.0,80.0,4,3,235
516,2805.0,5.0,3.0,154.0,4,3,91
518,3000.0,5.0,1.0,275.0,4,2,202
519,1175.0,2.0,2.0,48.0,3,0,105
520,1595.0,3.0,2.0,115.0,3,0,235
521,1353.0,2.0,2.0,110.0,2,3,235
522,1599.0,3.0,2.0,125.0,3,3,76
523,1150.0,2.0,1.0,70.0,2,3,229
524,5230.0,6.0,1.0,465.0,4,3,112
525,1155.0,2.0,2.0,42.74,2,3,117
526,1200.0,2.0,0.0,85.0,1,0,235
527,1000.0,2.0,1.0,25.0,2,3,77
529,1867.0,3.0,1.0,160.0,3,0,191
530,1251.0,2.0,1.0,47.0,2,3,192
531,1028.0,2.0,1.0,45.5,2,3,235
532,1222.0,2.0,2.0,45.0,2,3,20
533,1170.0,2.0,1.0,66.0,3,3,36
534,2400.0,4.0,1.0,245.0,3,3,93
535,1385.0,2.0,2.0,48.48,3,3,235
536,1372.0,2.0,1.0,68.0,2,3,90
537,1282.0,2.0,2.0,49.0,3,3,156
538,5000.0,9.0,3.0,210.0,9,3,165
539,3000.0,3.0,1.0,528.0,5,0,235
540,1135.0,2.0,1.0,39.73,2,3,129
541,1768.0,3.0,2.0,101.0,3,0,229
542,1325.0,2.0,1.0,90.0,3,0,235
543,1599.0,3.0,2.0,99.0,3,3,76
544,1500.0,3.0,1.0,61.95,3,2,229
545,2610.0,3.0,0.0,499.0,3,2,235
546,1286.0,2.0,2.0,63.0,2,3,220
547,2845.0,5.0,1.0,140.0,5,0,126
549,1317.5,2.0,0.0,63.77,2,3,97
550,3450.0,5.0,2.0,260.0,3,3,93
551,1102.0,2.0,2.0,53.67,2,3,166
552,1350.0,2.0,2.0,54.0,2,3,231
553,1200.0,2.0,2.0,42.0,3,3,28
555,1800.0,1.0,1.0,80.0,2,2,235
556,950.0,2.0,1.0,40.0,2,0,60
557,525.0,1.0,1.0,27.25,1,3,129
558,656.0,2.0,1.0,25.0,2,0,21
559,1780.0,4.0,3.0,175.0,4,2,162
560,1056.0,2.0,1.0,80.0,2,3,235
561,595.0,1.0,1.0,33.32,1,3,36
562,1080.0,2.0,2.0,50.0,2,0,235
563,2225.0,3.0,1.0,160.0,3,3,6
564,1126.0,2.0,1.0,28.15,2,3,50
565,1490.0,3.0,1.0,84.0,3,3,78
566,2000.0,4.0,1.0,300.0,4,2,89
567,1550.0,3.0,3.0,100.0,3,3,199
569,1160.0,2.0,1.0,55.0,2,0,235
570,4144.0,4.0,3.0,315.0,4,0,229
571,2100.0,3.0,2.0,125.0,3,3,199
572,1404.0,2.0,1.0,69.3,2,3,228
573,2230.0,4.0,3.0,225.0,4,2,199
575,1305.0,2.0,1.0,58.7,3,3,30
576,1230.0,2.0,2.0,80.0,2,3,162
577,1200.0,2.0,0.0,65.0,2,2,235
578,1460.0,3.0,1.0,73.0,3,3,92
580,967.0,2.0,3.0,45.0,2,0,84
581,540.0,1.0,1.0,36.0,1,0,235
582,715.0,1.0,2.0,46.0,1,3,101
583,2500.0,3.0,2.0,313.0,3,3,229
584,1578.0,3.0,1.0,180.0,3,3,235
585,1020.0,2.0,1.0,48.95,2,3,168
586,1020.0,2.0,1.0,40.0,2,3,115
587,1253.0,2.0,1.0,102.0,2,3,145
588,1180.0,2.0,2.0,42.0,2,3,235
589,961.0,2.0,2.0,38.0,2,3,235
590,1419.0,3.0,3.0,75.0,3,0,128
591,1709.0,3.0,2.0,150.0,3,3,92
592,1600.0,2.0,0.0,115.0,2,2,235
593,416.0,1.0,1.0,18.5,1,3,235
594,1100.0,2.0,2.0,98.0,2,1,196
595,1430.0,2.0,1.0,65.0,3,3,90
596,1260.0,2.0,2.0,45.0,2,3,235
597,1630.0,3.0,2.0,85.0,3,0,235
598,1249.0,3.0,2.0,44.71,3,3,199
599,1450.0,2.0,3.0,85.0,3,3,123
600,2791.0,3.0,1.0,223.0,3,3,144
601,600.0,1.0,0.0,90.0,1,3,235
602,834.0,1.0,1.0,60.0,1,0,235
603,1125.0,4.0,1.0,70.0,3,2,235
604,2060.0,3.0,2.0,140.0,3,3,20
605,12000.0,7.0,3.0,2200.0,7,3,161
606,891.0,2.0,1.0,25.0,2,0,84
607,1133.0,2.0,1.0,49.07,2,3,189
608,1075.0,2.0,1.0,37.0,3,0,48
609,3000.0,5.0,2.0,260.0,4,3,235
610,2440.0,5.0,2.0,425.0,4,2,53
611,1200.0,2.0,2.0,55.0,2,0,224
612,1075.0,2.0,2.0,45.8,2,3,214
613,1140.0,2.0,2.0,40.0,2,3,120
615,2160.0,5.0,1.0,250.0,6,2,235
616,1090.0,2.0,1.0,42.0,2,3,189
617,1500.0,4.0,1.0,70.0,4,0,187
618,4104.0,4.0,2.0,360.0,4,3,229
620,1920.0,3.0,2.0,134.0,3,3,93
621,1374.0,2.0,2.0,95.0,2,0,89
622,1445.0,3.0,2.0,95.0,3,1,36
623,711.0,1.0,1.0,36.0,1,3,128
